weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,rain.1h
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627806387.0,3600.0,2643044.0,Margate,200,1.3862,51.3813,62.51,62.6,60.69,64.69,1011.0,88.0,1.99,329.0,4.0,60.0,2.0,2020742.0,GB,1627791525.0,1627846960.0,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627806164.0,18000.0,1165221.0,Shekhupura,200,73.9783,31.7131,93.25,93.74,93.25,93.25,995.0,35.0,1.72,148.0,3.6,19.0,1.0,7585.0,PK,1627777187.0,1627826456.0,995.0,972.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806354.0,-10800.0,3874787.0,Punta Arenas,200,-70.9167,-53.15,42.91,34.66,42.12,42.91,997.0,75.0,18.41,290.0,,0.0,1.0,8487.0,CL,1627820743.0,1627852446.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806387.0,3600.0,2521582.0,Arona,200,-16.681,28.0996,66.52,65.75,58.66,70.02,1017.0,61.0,8.01,0.0,11.99,0.0,2.0,2009286.0,ES,1627799346.0,1627847811.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806387.0,39600.0,2136825.0,Isangel,200,169.2667,-19.55,69.51,68.99,69.51,69.51,1014.0,60.0,16.13,188.0,20.4,0.0,,,VU,1627758727.0,1627799178.0,1014.0,1014.0,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627806387.0,25200.0,1490551.0,Suzun,200,82.3116,53.7841,84.58,82.49,84.58,84.58,1008.0,30.0,6.71,281.0,9.31,38.0,,,RU,1627771492.0,1627828151.0,1008.0,993.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627806387.0,-10800.0,3393692.0,Itarema,200,-39.9167,-2.9248,75.47,76.57,75.47,75.47,1016.0,82.0,14.63,127.0,28.83,89.0,,,BR,1627807573.0,1627850737.0,1016.0,1014.0,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806387.0,36000.0,2065594.0,Mount Isa,200,139.5,-20.7333,87.57,84.29,87.57,87.57,1012.0,22.0,2.3,300.0,,24.0,1.0,9495.0,AU,1627765973.0,1627806220.0,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806387.0,-21600.0,6185377.0,Yellowknife,200,-114.3525,62.456,66.92,66.7,66.56,67.32,1015.0,72.0,1.01,322.0,0.0,20.0,2.0,19346.0,CA,1627815659.0,1627878379.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806387.0,43200.0,2126710.0,Beringovskiy,200,179.3167,63.05,46.72,44.13,46.72,46.72,1007.0,81.0,5.37,179.0,5.82,100.0,,,RU,1627744731.0,1627808351.0,1007.0,1005.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806387.0,-10800.0,3443061.0,Chui,200,-53.4616,-33.6971,45.52,45.52,45.52,45.52,1030.0,93.0,2.28,225.0,2.33,0.0,,,UY,1627813538.0,1627851273.0,1030.0,1027.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806388.0,-10800.0,3474574.0,Palmas,200,-48.3603,-10.2128,78.67,77.7,78.67,78.67,1018.0,31.0,3.44,80.0,,0.0,1.0,8419.0,BR,1627810170.0,1627852192.0,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627806388.0,19800.0,1244926.0,Hambantota,200,81.1185,6.1241,95.34,107.51,95.34,95.34,1007.0,52.0,17.27,260.0,,20.0,1.0,9124.0,LK,1627777816.0,1627822399.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806388.0,14400.0,934479.0,Grand Gaube,200,57.6608,-20.0064,74.37,74.75,74.37,75.6,1024.0,69.0,14.0,117.0,30.0,0.0,2.0,2002134.0,MU,1627785544.0,1627825930.0,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627806259.0,-10800.0,3466704.0,Castro,200,-50.0119,-24.7911,43.83,42.53,43.83,43.83,1031.0,94.0,3.15,169.0,4.68,100.0,,,BR,1627811808.0,1627851348.0,1031.0,914.0,,0.29
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627806388.0,25200.0,1605277.0,Trat,200,102.5,12.5,88.0,99.66,87.98,88.0,1005.0,69.0,13.06,237.0,15.9,76.0,1.0,9245.0,TH,1627772167.0,1627817785.0,1005.0,1003.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806388.0,10800.0,160141.0,Dunda,200,34.25,-8.1167,71.49,70.59,71.49,71.49,1022.0,48.0,10.4,120.0,16.42,86.0,,,TZ,1627790181.0,1627832530.0,1022.0,899.0,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627806388.0,-36000.0,5856516.0,‘Āhuimanu,200,-157.8378,21.4447,77.79,78.42,76.46,78.51,1019.0,67.0,11.5,80.0,21.85,75.0,1.0,7877.0,US,1627747460.0,1627794656.0,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627806388.0,-36000.0,4034551.0,Faanui,200,-151.75,-16.4833,77.41,78.01,77.41,77.41,1016.0,67.0,15.17,108.0,14.85,80.0,,,PF,1627749110.0,1627790084.0,1016.0,1016.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806388.0,36000.0,2174444.0,Bowen,200,148.2333,-20.0167,71.82,72.18,71.82,71.82,1016.0,74.0,7.96,45.0,9.51,0.0,1.0,9503.0,AU,1627763814.0,1627804187.0,1016.0,1016.0,,
